ticker,company_name,market_cap,52_week_delta,dividend_payout_ratio,forward_eps,g_revenue,gross_margin_pct,ebitda_margin_pct,price_to_forward_earnings,price_to_book,debt_to_equity,return_on_assets,return_on_equity,largest_institutional_owner,recommendation
PIH,1347 Property Insurance Holding,29497118.000000004,-0.0020661354,0.0,1.15,0.749,0.27115,0.0054400004,4.261,0.77250516,0.0,0.00078,0.025150001,"CWA Asset Management Group, LLC",none
FLWS,"1-800 FLOWERS.COM, Inc.",467176896.00000006,0.061797738,0.0,0.68,0.105,0.42145002,0.0615,19.059,2.5396824,52.765,0.049889997,0.11756,Dimensional Fund Advisors LP,buy
SRCE,1st Source Corporation,1305030208.0,0.12263334,0.29860002,3.55,0.097,0.0,0.0,14.411,1.6048685,0.0,0.014090001,0.11557999,First Source Bank,hold
TWOU,"2U, Inc.",1430769326.0,-0.60269946,0.0,-1.09,0.438,0.73874,-0.1169,-20.679,1.9491526,42.584,-0.07259,-0.26075,"Vanguard Group, Inc. (The)",hold
DDD,3D Systems Corporation,1016644285.0000001,-0.2521739,0.0,0.09,-0.056,0.44765,-0.00901,95.389,1.9582574,19.777,-0.04547,-0.12539,Blackrock Inc.,hold
MMM,3M Company,96367047920.64001,-0.14365673,0.6738,9.69,-0.02,0.48029,0.24773,17.294,9.004353,189.511,0.10052,0.47079,"Vanguard Group, Inc. (The)",hold
EGHT,8x8 Inc,1784022800.0,-0.048092008,0.0,-0.26,0.278,0.60261,-0.271,-68.462,7.438362,126.82,-0.15609999,-0.53153,Blackrock Inc.,buy
AHC,A.H. Belo Corporation (TX),55462772.0,-0.28915662,0.5424,0.45,-0.067,0.02263,0.02263,6.489,0.7786667,31.485,-0.02322,0.15215999,Wells Fargo & Company,none
AOS,A.O. Smith Corporation,6206031882.24,0.056085587,0.3667,2.53,-0.034,0.40032002,0.19242,17.897,4.4593263,22.401,0.10481,0.23737,"Vanguard Group, Inc. (The)",buy
ATEN,"A10 Networks, Inc.",487797449.59999996,-0.03605014,0.0,0.17,-0.127,0.77,-0.048109997,37.353,4.770849,4.296,-0.053979997,-0.19358999,"Summit Partners, L.P.",hold
AAON,"AAON, Inc.",2524649696.0,0.40958345,0.33330002,1.32,0.005,0.24209999,0.18726999,36.712,9.034303,0.0,0.11926,0.18982,Blackrock Inc.,hold
